index,english,garo,category,notes,verification_tag,flags
434,pill,Sam,,,none,DUPLICATE_KEY
435,knife (small),Kettal,,,none,DUPLICATE_KEY
436,sword / machete,Mil·am,,,none,DUPLICATE_KEY
437,hoe,Gitchima / kodal,,,none,DUPLICATE_KEY
438,hammer,Martul,,,none,DUPLICATE_KEY
439,nail (metal),Gajal / Gojal,,,none,DUPLICATE_KEY
440,rope,Budu,,,none,DUPLICATE_KEY
441,basket (backpack),Kokcheng,,,none,DUPLICATE_KEY
442,umbrella,Satta,,,none,DUPLICATE_KEY
443,ladder,Jang·ke,,,none,DUPLICATE_KEY
444,bridge,Jal·ang,,,none,DUPLICATE_KEY
445,boat,Ring,,,none,DUPLICATE_KEY
446,life,Janggi,,,none,DUPLICATE_KEY
447,death,Sia,,,none,DUPLICATE_KEY
448,truth,Bebe,,,none,DUPLICATE_KEY
449,lie,Tol·a,,,none,DUPLICATE_KEY
450,war,Dakgrikani,,,none,DUPLICATE_KEY
451,dream,Jumang,,,none,DUPLICATE_KEY
452,sound,Gam·a,,,none,DUPLICATE_KEY
453,voice,Ku·rang,,,none,DUPLICATE_KEY
454,light,Seng·a,,,none,DUPLICATE_KEY
455,darkness,Andala,,,none,DUPLICATE_KEY
456,ghost,Me·mang,,,none,DUPLICATE_KEY
457,tradition,Dakbewal,,,none,DUPLICATE_KEY
458,language,Ku·sik,,,none,DUPLICATE_KEY
459,shadow,Jagring,,,none,DUPLICATE_KEY
460,all,Gimikan,,,none,DUPLICATE_KEY
461,some,Mitam,,,none,DUPLICATE_KEY
462,many / much,Bang·a,,,none,DUPLICATE_KEY
463,few / little,On·titi,,,none,DUPLICATE_KEY
464,more,Bang·bata,,,none,DUPLICATE_KEY
465,less,Komia,,,none,DUPLICATE_KEY
466,empty,Bangbang,,,none,DUPLICATE_KEY
467,full,Gapa,,,none,DUPLICATE_KEY
468,enough,Chu·onga,,,none,DUPLICATE_KEY
469,rice (uncooked),Merong,,,none,DUPLICATE_KEY
470,rice (cooked),Mi,,,none,DUPLICATE_KEY
471,salt,Kari,,,none,DUPLICATE_KEY
472,oil,To,,,none,DUPLICATE_KEY
473,sugar,Chini,,,none,DUPLICATE_KEY
474,milk,Dutt,,,none,DUPLICATE_KEY
475,egg,Do·chi,,,none,DUPLICATE_KEY
476,meat,Be·en,,,none,DUPLICATE_KEY
477,fish,Na·tok,,,none,DUPLICATE_KEY
478,dry fish,Na·kam,,,none,DUPLICATE_KEY
479,turmeric,Holdi,,,none,DUPLICATE_KEY
480,chili,Jal·ik,,,none,DUPLICATE_KEY
481,lentils,Dalli,,,none,DUPLICATE_KEY
482,bread,Ruti,,,none,DUPLICATE_KEY
483,tea,Cha,,,none,DUPLICATE_KEY
484,spices (general),Mosila,,,none,DUPLICATE_KEY
485,to cook,Song·a,,,none,DUPLICATE_KEY
486,to fry,Jo·a,,,none,DUPLICATE_KEY
487,to boil,Rita,,,none,DUPLICATE_KEY
488,to bake / roast,Ang·a,,,none,DUPLICATE_KEY
489,to stir,Mo·ila,,,none,DUPLICATE_KEY
490,pan,Sospen,,,none,DUPLICATE_KEY
491,firewood,Am·bol,,,none,DUPLICATE_KEY
