index,english,garo,category,notes,verification_tag,flags
2581,edge,a˙·sam,uncategorized,UNVERIFIED/HIGH v:bi-wa / rik-ing / rik-ong,VERIFIED/HIGH,DUPLICATE_KEY
2582,edge,bi·wa,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2583,edge,rik·ing,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2584,edge,rik·ong,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2592,enclose,grip·a,uncategorized,UNVERIFIED/HIGH v:ting-chang-a,VERIFIED/HIGH,DUPLICATE_KEY
2593,enclose,ting·chang·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2594,encourage,bu·jai·a,uncategorized,UNVERIFIED/HIGH v:mal-mok-a,VERIFIED/HIGH,DUPLICATE_KEY
2595,encourage,mal·mok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2596,end,bi·chu,uncategorized,UNVERIFIED/HIGH v:ku˙-mang,VERIFIED/HIGH,DUPLICATE_KEY
2597,end,ku˙·mang,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2598,endure,bai·a,uncategorized,UNVERIFIED/HIGH v:chak-a / ham-chak-a / han˙-chak-a,VERIFIED/HIGH,DUPLICATE_KEY
2599,endure,chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2600,endure,ham·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2601,endure,han˙·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2603,enthusiastic,gam gok·a,uncategorized,UNVERIFIED/HIGH v:gok-a,VERIFIED/HIGH,DUPLICATE_KEY
2604,enthusiastic,gok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2607,era,a·mul,uncategorized,UNVERIFIED/HIGH v:cha-song / tro,VERIFIED/HIGH,DUPLICATE_KEY
2608,era,cha·song,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2609,era,tro,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2613,every,dim·dak,uncategorized,UNVERIFIED/HIGH v:gim-ik / rik-kit,VERIFIED/HIGH,DUPLICATE_KEY
2614,every,gim·ik,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
