index,english,garo,category,notes,verification_tag,flags
5048,increase,jal·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5051,infant,a·wa git·chak,uncategorized,UNVERIFIED/HIGH v:a-wa / gen-da,VERIFIED/HIGH,DUPLICATE_KEY
5052,infant,a·wa,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5053,infant,gen·da,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5054,inform,a·gan·e don·a,uncategorized,UNVERIFIED/HIGH v:a-gan-e ron·-a / in-et-a / ja-nap-a,VERIFIED/HIGH,DUPLICATE_KEY
5055,inform,a·gan·e ron·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5056,inform,in·et·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5057,inform,ja·nap·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5065,insert,jot·a,uncategorized,UNVERIFIED/HIGH v:-jrot- / jot-ket-a / pot-a,VERIFIED/HIGH,DUPLICATE_KEY
5066,insert,·jrot·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5067,insert,jot·ket·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5068,insert,pot·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5072,insult,in·tat·a,uncategorized,UNVERIFIED/HIGH v:je-a / sa-wi-a,VERIFIED/HIGH,DUPLICATE_KEY
5073,insult,je·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5074,insult,sa·wi·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5077,intend,mang·sok·a,uncategorized,UNVERIFIED/HIGH v:mang-song-a,VERIFIED/HIGH,DUPLICATE_KEY
5078,intend,mang·song·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5090,jackal,bel,uncategorized,UNVERIFIED/HIGH v:si·-ol,VERIFIED/HIGH,DUPLICATE_KEY
5091,jackal,si·ol,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5094,join,chap·a,uncategorized,UNVERIFIED/HIGH v:rit-chu-a,VERIFIED/HIGH,DUPLICATE_KEY
5095,join,rit·chu·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5098,joke,bo·bru·a,uncategorized,UNVERIFIED/HIGH v:bu·-rok-a / re-jil-a / rong-kal-a,VERIFIED/HIGH,DUPLICATE_KEY
5099,joke,bu·rok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5100,joke,re·jil·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5101,joke,rong·kal·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5108,keep,ra·rik·a,uncategorized,UNVERIFIED/HIGH v:rak-ki-a,VERIFIED/HIGH,DUPLICATE_KEY
5109,keep,rak·ki·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5112,kill,ma·ri·a,uncategorized,UNVERIFIED/HIGH v:si-et-a / so·-ot-a,VERIFIED/HIGH,DUPLICATE_KEY
5113,kill,si·et·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5114,kill,so·ot·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5116,kind,jat,uncategorized,UNVERIFIED/HIGH v:ro-kom,VERIFIED/HIGH,DUPLICATE_KEY
5117,kind,ro·kom,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5119,kinsman,ang·bak,uncategorized,UNVERIFIED/HIGH v:chat-chi,VERIFIED/HIGH,DUPLICATE_KEY
5120,kinsman,chat·chi,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5121,kiss,ku·chot·a,uncategorized,UNVERIFIED/HIGH v:ku·-dim-a,VERIFIED/HIGH,DUPLICATE_KEY
5122,kiss,ku·dim·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5123,kitchen,pak·nok,uncategorized,UNVERIFIED/HIGH v:ran-a,VERIFIED/HIGH,DUPLICATE_KEY
5124,kitchen,ran·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5127,kneel,ja·sku·ting·a,uncategorized,UNVERIFIED/HIGH v:ting-a,VERIFIED/HIGH,DUPLICATE_KEY
5128,kneel,ting·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5129,knock,dok·kak·kak·a,uncategorized,UNVERIFIED/HIGH v:dok-tok-tok-a,VERIFIED/HIGH,DUPLICATE_KEY
5130,knock,dok·tok·tok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5134,laborer,cha·kol,uncategorized,UNVERIFIED/HIGH v:ka-mil-a,VERIFIED/HIGH,DUPLICATE_KEY
5135,laborer,ka·mil·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5138,ladle,a·ta·sil,uncategorized,UNVERIFIED/HIGH v:brak / pong / sat-a,VERIFIED/HIGH,DUPLICATE_KEY
5139,ladle,brak,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5140,ladle,pong,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5141,ladle,sat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5142,lame,kong·dep·a,uncategorized,UNVERIFIED/HIGH v:o-chol,VERIFIED/HIGH,DUPLICATE_KEY
5143,lame,o·chol,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5145,land,ha·,uncategorized,UNVERIFIED/HIGH v:ha·-ga,VERIFIED/HIGH,DUPLICATE_KEY
5146,land,ha·ga,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5148,land measure,pa·ki,uncategorized,UNVERIFIED/HIGH v:sot-tang-so,VERIFIED/HIGH,DUPLICATE_KEY
5149,land measure,sot·tang·so,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5152,langur,ha·mak rang·gol,uncategorized,UNVERIFIED/HIGH v:rang-gol,VERIFIED/HIGH,DUPLICATE_KEY
5153,langur,rang·gol,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5154,large,dal·a,uncategorized,UNVERIFIED/HIGH v:-ma,VERIFIED/HIGH,DUPLICATE_KEY
5155,large,·ma,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5158,latrine,ki·dik,uncategorized,UNVERIFIED/HIGH v:pai-ka-na,VERIFIED/HIGH,DUPLICATE_KEY
5159,latrine,pai·ka·na,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5161,layers,chap·a,uncategorized,UNVERIFIED/HIGH v:git-dap-a / mit-dap,VERIFIED/HIGH,DUPLICATE_KEY
5162,layers,git·dap·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5163,layers,mit·dap,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
5164,lead,dil·a,uncategorized,UNVERIFIED/HIGH v:si-sa,VERIFIED/HIGH,DUPLICATE_KEY
