index,english,garo,category,notes,tagged_verified_high
5190,"let property","me·di ron··a","uncategorized","UNVERIFIED/HIGH",yes
5192,"leukoderma","ja··ka·bok","uncategorized","UNVERIFIED/HIGH",yes
5200,"lift","de··a","uncategorized","variant/UNVERIFIED/HIGH",yes
5201,"lift","de··gat·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5202,"lift","de··tom·brot·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5203,"light complexion","han··git·chak","uncategorized","UNVERIFIED/HIGH",yes
5204,"light fire","so··a","uncategorized","UNVERIFIED/HIGH",yes
5215,"lime","te··mat·chu","uncategorized","variant/UNVERIFIED/HIGH",yes
5216,"limp","ja··ding·a","uncategorized","UNVERIFIED/HIGH v:kong-dep-a / le-la-le-la",yes
5219,"lineage","ma··chong","uncategorized","UNVERIFIED/HIGH v:ma-ha-ri",yes
5221,"lineage bond","ha··kim","uncategorized","UNVERIFIED/HIGH",yes
5222,"lip","ku··chil","uncategorized","UNVERIFIED/HIGH",yes
5230,"little finger","jak·si·pi··sa","uncategorized","UNVERIFIED/HIGH",yes
5240,"load","de··gat·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5243,"loan","on··cheng·a","business","variant/UNVERIFIED/HIGH",yes
5246,"location","ha··dam","uncategorized","variant/UNVERIFIED/HIGH",yes
5247,"location","ha··dok","uncategorized","variant/UNVERIFIED/HIGH",yes
5255,"lonely","ma··ring·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5260,"long time","ja··ro·a","uncategorized","UNVERIFIED/HIGH",yes
5261,"long, of clothes","ja··ro·a","phrases","UNVERIFIED/HIGH",yes
5272,"look up to","dal··nik·a","phrases","UNVERIFIED/HIGH",yes
5275,"loose","dil··dek·ga·dek","uncategorized","UNVERIFIED/HIGH v:go·-ok-a / le-la-le-la / rok-rak-a",yes
5276,"loose","go··ok·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5279,"loosen","go··ok·a","uncategorized","UNVERIFIED/HIGH v:rok-rek-a",yes
5293,"loud","ka··so·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5298,"low land","ha··pal","uncategorized","UNVERIFIED/HIGH",yes
5302,"lungs","ka··sop","uncategorized","UNVERIFIED/HIGH",yes
5318,"man (male)","me··a","uncategorized","UNVERIFIED/HIGH v:me·-a-sa",yes
5319,"man (male)","me··a·sa","uncategorized","variant/UNVERIFIED/HIGH",yes
5322,"manage","man··chak·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5325,"manioc","ta··bol·chu","uncategorized","UNVERIFIED/HIGH",yes
5326,"many","bang··a","uncategorized","UNVERIFIED/HIGH",yes
5330,"massage","rim··rok·a","uncategorized","UNVERIFIED/HIGH",yes
5334,"match","wal··bi·ma","uncategorized","variant/UNVERIFIED/HIGH",yes
5335,"match","wal··tot","uncategorized","variant/UNVERIFIED/HIGH",yes
5338,"mature","dil·ding bal··jak","uncategorized","UNVERIFIED/HIGH",yes
5339,"maturing","bal··jak","uncategorized","UNVERIFIED/HIGH",yes
5349,"menstruate","ja re··a","uncategorized","UNVERIFIED/HIGH",yes
5357,"messy hair","bu··rang bu··jang","health","UNVERIFIED/HIGH v:bu·-rin-eng bu·-sin-eng",yes
5358,"messy hair","bu··rin·eng bu··sin·eng","health","variant/UNVERIFIED/HIGH",yes
5375,"miss","ma··ring·a","uncategorized","variant/UNVERIFIED/HIGH",yes
5382,"mole","si··son·ta","uncategorized","UNVERIFIED/HIGH",yes
5386,"more and more","bang··rik·rik·a","phrases","UNVERIFIED/HIGH",yes
5388,"mortar","cha··am","uncategorized","UNVERIFIED/HIGH",yes
5395,"mountain pass","ha··sing·sep","education","UNVERIFIED/HIGH",yes
5398,"move","de··jit·a","uncategorized","UNVERIFIED/HIGH v:jit-a",yes
5402,"much","bang··a","uncategorized","UNVERIFIED/HIGH v:-mi-si- / bang·-e / be-si",yes
5404,"much","bang··e","uncategorized","variant/UNVERIFIED/HIGH",yes
